"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","945","test_place_limit_order[BTCUSDT-BUY-0.001-30000]","tests.rest","Mon Mar 10 23:36:59 WIB 2025","passed","Mon Mar 10 23:37:00 WIB 2025","","test_limit_order","",""
"","1516","test_get_open_orders","tests.rest","Mon Mar 10 23:37:01 WIB 2025","passed","Mon Mar 10 23:37:03 WIB 2025","","test_open_orders","",""
"","0","test_order_book_stream","tests.websocket","Mon Mar 10 23:37:08 WIB 2025","passed","Mon Mar 10 23:37:08 WIB 2025","","test_websocket","",""
"","1050","test_trade_history[BTCUSDT-0.001-30000]","tests.rest","Mon Mar 10 23:37:03 WIB 2025","passed","Mon Mar 10 23:37:04 WIB 2025","","test_trade_history","",""
"","2065","test_get_account_balance","tests.rest","Mon Mar 10 23:36:57 WIB 2025","passed","Mon Mar 10 23:36:59 WIB 2025","","test_account_balance","",""
"","1879","test_user_data_stream","tests.websocket","Mon Mar 10 23:37:08 WIB 2025","passed","Mon Mar 10 23:37:09 WIB 2025","","test_websocket","",""
"","586","test_place_limit_order[BTCUSDT-BUY-0.002-31000]","tests.rest","Mon Mar 10 23:37:00 WIB 2025","passed","Mon Mar 10 23:37:00 WIB 2025","","test_limit_order","",""
"","1","test_trade_stream","tests.websocket","Mon Mar 10 23:37:08 WIB 2025","passed","Mon Mar 10 23:37:08 WIB 2025","","test_websocket","",""
"","482","test_get_order_book","tests.rest","Mon Mar 10 23:37:03 WIB 2025","passed","Mon Mar 10 23:37:03 WIB 2025","","test_order_book","",""
"","930","test_place_limit_order[BTCUSDT-SELL-0.001-32000]","tests.rest","Mon Mar 10 23:37:00 WIB 2025","passed","Mon Mar 10 23:37:01 WIB 2025","","test_limit_order","",""
